172.20.0.1 - - [20/Aug/2026:13:55:41 +0000] "GET /backup.tar.gz HTTP/1.1" 200 6537 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:13:55:45 +0000] "GET /access.log HTTP/1.1" 200 6537 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.20.0.1 - - [20/Aug/2026:13:55:52 +0000] "GET /.git/HEAD HTTP/1.1" 200 6537 "-" "dirb 2.22"
172.20.0.1 - - [20/Aug/2026:13:55:58 +0000] "GET /backup.bak HTTP/1.1" 200 6537 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:13:56:04 +0000] "GET /database.sql HTTP/1.1" 200 6537 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:13:56:07 +0000] "GET /phpmyadmin HTTP/1.1" 200 6537 "-" "gobuster/3.6"
172.20.0.1 - - [20/Aug/2026:13:56:12 +0000] "GET /test.php HTTP/1.1" 200 6537 "-" "Go-http-client/1.1"
172.20.0.1 - - [20/Aug/2026:13:56:16 +0000] "GET /backup HTTP/1.1" 200 6537 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.20.0.1 - - [20/Aug/2026:13:56:23 +0000] "GET /wp-login.php HTTP/1.1" 200 6537 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:13:56:26 +0000] "GET /admin HTTP/1.1" 200 6537 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:14:05:33 +0000] "GET /backup.zip HTTP/1.1" 200 6537 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:05:39 +0000] "GET /backup HTTP/1.1" 200 6537 "-" "Go-http-client/1.1"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /database HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /test.php HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /backup.zip HTTP/1.1" 200 0 "-" "curl/8.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /config HTTP/1.1" 200 0 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /.env HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /config HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /backup.bak HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /test HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /admin HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /error.log HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /access.log HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /error.log HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /administrator HTTP/1.1" 200 0 "-" "dirb 2.22"
172.20.0.1 - - [20/Aug/2026:14:06:12 +0000] "HEAD /test HTTP/1.1" 200 0 "-" "ffuf/2.1.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /database.sql HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /logs HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /backup HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /db HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /database.sql HTTP/1.1" 200 0 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /.env HTTP/1.1" 200 0 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /backup.tar.gz HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /wp-login.php HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /wp-login.php HTTP/1.1" 200 0 "-" "curl/8.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /phpmyadmin HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /admin HTTP/1.1" 200 0 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /backup.zip HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /.git/config HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /database HTTP/1.1" 200 0 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /backup.bak HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /test.php HTTP/1.1" 200 0 "-" "dirb 2.22"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /admin/login HTTP/1.1" 200 0 "-" "dirb 2.22"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /db HTTP/1.1" 200 0 "-" "ffuf/2.1.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /index.bak HTTP/1.1" 200 0 "-" "curl/8.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /temp HTTP/1.1" 200 0 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /temp HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /old HTTP/1.1" 200 0 "-" "python-requests/2.31.0"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /configuration.php HTTP/1.1" 200 0 "-" "gobuster/3.6"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /backup HTTP/1.1" 200 0 "-" "gobuster/3.6"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /access.log HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:13 +0000] "HEAD /.git/HEAD HTTP/1.1" 200 0 "-" "Nikto/2.5.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /backup.tar.gz HTTP/1.1" 200 0 "-" "ffuf/2.1.0"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /index.old HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /db.sql HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /index.old HTTP/1.1" 200 0 "-" "Go-http-client/1.1"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /index.bak HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /wp-admin HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /db.sql HTTP/1.1" 200 0 "-" "dirb 2.22"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /logs HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
172.20.0.1 - - [20/Aug/2026:14:06:14 +0000] "HEAD /wp-admin HTTP/1.1" 200 0 "-" "Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)"
